country,country_code,year,week,year_week,rate_14_day,indicator,pps
Austria,AT,2020,1,2020-01,,cases,125
Austria,AT,2020,2,2020-02,,cases,125
Austria,AT,2020,3,2020-03,,cases,125
Austria,AT,2020,4,2020-04,,cases,125
Austria,AT,2020,5,2020-05,,cases,125
Austria,AT,2020,6,2020-06,,cases,125
Austria,AT,2020,7,2020-07,,cases,125
Austria,AT,2020,8,2020-08,,cases,125
Austria,AT,2020,9,2020-09,,cases,125
Austria,AT,2020,10,2020-10,1.414422588707406,cases,125
Austria,AT,2020,11,2020-11,11.0146766947372,cases,125
Austria,AT,2020,12,2020-12,43.65776809238607,cases,125
Austria,AT,2020,13,2020-13,90.70124064907964,cases,125
Austria,AT,2020,14,2020-14,91.45856927925368,cases,125
Austria,AT,2020,15,2020-15,55.15134377385098,cases,125
Austria,AT,2020,16,2020-16,28.110256802342462,cases,125
Austria,AT,2020,17,2020-17,12.651842998201678,cases,125
Austria,AT,2020,18,2020-18,8.453123975030875,cases,125
Austria,AT,2020,19,2020-19,6.337058684838693,cases,125
Austria,AT,2020,20,2020-20,6.504116470906497,cases,125
Austria,AT,2020,21,2020-21,6.548665213857912,cases,125
Austria,AT,2020,22,2020-22,5.111968253674798,cases,125
Austria,AT,2020,23,2020-23,4.711029567112068,cases,125
Austria,AT,2020,24,2020-24,4.454874295141436,cases,125
Austria,AT,2020,25,2020-25,4.677618009898508,cases,125
Austria,AT,2020,26,2020-26,6.481842099430789,cases,125
Austria,AT,2020,27,2020-27,10.847618908669396,cases,125
Austria,AT,2020,28,2020-28,13.77669875772489,cases,125
Austria,AT,2020,29,2020-29,15.380453503975808,cases,125
Austria,AT,2020,30,2020-30,18.443179581885545,cases,125
Austria,AT,2020,31,2020-31,18.53227706778837,cases,125
Austria,AT,2020,32,2020-32,16.850562021372482,cases,125
Austria,AT,2020,33,2020-33,24.301339279996533,cases,125
Austria,AT,2020,34,2020-34,37.521178750828746,cases,125
Austria,AT,2020,35,2020-35,42.889302276474176,cases,125
Austria,AT,2020,36,2020-36,46.8430032134122,cases,125
Austria,AT,2020,37,2020-37,69.69650834748776,cases,125
Austria,AT,2020,38,2020-38,102.57348064563156,cases,125
Austria,AT,2020,39,2020-39,109.99084634704204,cases,125
Austria,AT,2020,40,2020-40,114.3009372275914,cases,125
Austria,AT,2020,41,2020-41,145.77462412276563,cases,125
