country,country_code,year,week,year_week,rate_14_day
Austria,AT,2020,10,2020-10,1.414422588707406
Austria,AT,2020,11,2020-11,11.0146766947372
Austria,AT,2020,12,2020-12,43.65776809238607
Austria,AT,2020,13,2020-13,90.70124064907964
Austria,AT,2020,14,2020-14,91.45856927925368
Austria,AT,2020,15,2020-15,55.15134377385098
Austria,AT,2020,16,2020-16,28.110256802342462
Austria,AT,2020,17,2020-17,12.651842998201678
Austria,AT,2020,18,2020-18,8.453123975030875
Austria,AT,2020,19,2020-19,6.337058684838693
Austria,AT,2020,20,2020-20,6.504116470906497
Austria,AT,2020,21,2020-21,6.548665213857912
Austria,AT,2020,22,2020-22,5.111968253674798
Austria,AT,2020,23,2020-23,4.711029567112068
Austria,AT,2020,24,2020-24,4.454874295141436
Austria,AT,2020,25,2020-25,4.677618009898508
Austria,AT,2020,26,2020-26,6.481842099430789
Austria,AT,2020,27,2020-27,10.847618908669396
Austria,AT,2020,28,2020-28,13.77669875772489
Austria,AT,2020,29,2020-29,15.380453503975808
Austria,AT,2020,30,2020-30,18.443179581885545
Austria,AT,2020,31,2020-31,18.53227706778837
Austria,AT,2020,32,2020-32,16.850562021372482
Austria,AT,2020,33,2020-33,24.301339279996533
Austria,AT,2020,34,2020-34,37.521178750828746
Austria,AT,2020,35,2020-35,42.889302276474176
Austria,AT,2020,36,2020-36,46.8430032134122
Austria,AT,2020,37,2020-37,69.69650834748776
Austria,AT,2020,38,2020-38,102.57348064563156
Austria,AT,2020,39,2020-39,109.99084634704204
Austria,AT,2020,40,2020-40,114.3009372275914
Austria,AT,2020,41,2020-41,145.77462412276563
Austria,AT,2020,42,2020-42,193.61997405258467
Austria,AT,2020,43,2020-43,313.6231503779572
Austria,AT,2020,44,2020-44,555.4671386754478
Austria,AT,2020,45,2020-45,850.7139325859465
Austria,AT,2020,46,2020-46,1031.4036339968832
Austria,AT,2020,47,2020-47,986.0418764866056
Austria,AT,2020,48,2020-48,800.1065605931398
Austria,AT,2020,49,2020-49,603.7691132205189
Austria,AT,2020,50,2020-50,465.1222879699795
Austria,AT,2020,51,2020-51,373.4743865331823
Austria,AT,2020,52,2020-52,314.69232020879105
Austria,AT,2020,53,2020-53,315.52760913913005
Austria,AT,2021,1,2021-01,329.1261129250493
Austria,AT,2021,2,2021-02,284.9337599172463
Austria,AT,2021,3,2021-03,235.03916781166217
Austria,AT,2021,4,2021-04,219.05730627784223
Austria,AT,2021,5,2021-05,207.4634959247367
Austria,AT,2021,6,2021-06,206.85095070915477
Austria,AT,2021,7,2021-07,234.82756128264296
Austria,AT,2021,8,2021-08,287.3950779653119
Austria,AT,2021,9,2021-09,339.58393033289383
Austria,AT,2021,10,2021-10,384.5781607138224
