country,country_code,year,week,year_week,rate_14_day
Austria,AT,2020,10,2020-10,0.0
Austria,AT,2020,11,2020-11,0.2227437147570718
Austria,AT,2020,12,2020-12,3.563899436113149
Austria,AT,2020,13,2020-13,14.589713316588202
Austria,AT,2020,14,2020-14,25.28141162492765
Austria,AT,2020,15,2020-15,30.73863263647591
Austria,AT,2020,16,2020-16,30.07040149220469
Austria,AT,2020,17,2020-17,22.051627760950108
Austria,AT,2020,18,2020-18,14.366969601831132
Austria,AT,2020,19,2020-19,9.24386416241848
Austria,AT,2020,20,2020-20,5.234477296791187
Austria,AT,2020,21,2020-21,3.563899436113149
Austria,AT,2020,22,2020-22,3.563899436113149
Austria,AT,2020,23,2020-23,3.341155721356077
Austria,AT,2020,24,2020-24,3.341155721356077
Austria,AT,2020,25,2020-25,3.563899436113149
Austria,AT,2020,26,2020-26,3.786643150870221
Austria,AT,2020,27,2020-27,2.8956682918419334
Austria,AT,2020,28,2020-28,1.7819497180565744
Austria,AT,2020,29,2020-29,1.8933215754351105
Austria,AT,2020,30,2020-30,2.0046934328136463
Austria,AT,2020,31,2020-31,2.7842964344633976
Austria,AT,2020,32,2020-32,3.2297838639775414
Austria,AT,2020,33,2020-33,2.45018086232779
Austria,AT,2020,34,2020-34,2.561552719706326
Austria,AT,2020,35,2020-35,2.116065290192182
Austria,AT,2020,36,2020-36,2.45018086232779
Austria,AT,2020,37,2020-37,3.452527578734613
Austria,AT,2020,38,2020-38,4.343502437762901
Austria,AT,2020,39,2020-39,6.459567727955083
Austria,AT,2020,40,2020-40,8.241517446011656
Austria,AT,2020,41,2020-41,12.362276169017486
Austria,AT,2020,42,2020-42,15.146572603480882
Austria,AT,2020,43,2020-43,21.27202475930036
Austria,AT,2020,44,2020-44,43.1009088054934
Austria,AT,2020,45,2020-45,73.28268215507663
Austria,AT,2020,46,2020-46,113.59929452610662
Austria,AT,2020,47,2020-47,154.69550989878638
Austria,AT,2020,48,2020-48,180.86789638274232
Austria,AT,2020,49,2020-49,198.13053427641535
Austria,AT,2020,50,2020-50,197.1281875600085
Austria,AT,2020,51,2020-51,172.96049450886625
Austria,AT,2020,52,2020-52,146.89947988228886
Austria,AT,2020,53,2020-53,126.07294255250264
Austria,AT,2021,1,2021-01,106.13738008174472
Austria,AT,2021,2,2021-02,98.6754656373828
Austria,AT,2021,3,2021-03,94.66607877175552
Austria,AT,2021,4,2021-04,85.6449583240941
Austria,AT,2021,5,2021-05,74.28502887148345
Austria,AT,2021,6,2021-06,61.36589341557328
Austria,AT,2021,7,2021-07,52.45614482529041
Austria,AT,2021,8,2021-08,49.22636096131287
Austria,AT,2021,9,2021-09,46.10794895471386
Austria,AT,2021,10,2021-10,44.99423038092851
Austria,AT,2021,11,2021-11,51.23105439412652
Austria,AT,2021,12,2021-12,51.45379810888359
Austria,AT,2021,13,2021-13,54.23809454334698
Austria,AT,2021,14,2021-14,58.136109551595744
Austria,AT,2021,15,2021-15,55.24044125975381
Austria,AT,2021,16,2021-16,49.56047653344848
Austria,AT,2021,17,2021-17,43.88051180714314
Austria,AT,2021,18,2021-18,39.091521939866105
Austria,AT,2021,19,2021-19,29.179426633176405
Austria,AT,2021,20,2021-20,19.82419061337939
Austria,AT,2021,21,2021-21,16.148919319887707
Austria,AT,2021,22,2021-22,13.364622885424309
Austria,AT,2021,23,2021-23,9.466607877175552
Austria,AT,2021,24,2021-24,7.796030016497514
Austria,AT,2021,25,2021-25,5.791336583683867
Austria,AT,2021,26,2021-26,4.788989867277044
Austria,AT,2021,27,2021-27,4.009386865627293
Austria,AT,2021,28,2021-28,2.8956682918419334
Austria,AT,2021,29,2021-29,3.341155721356077
Austria,AT,2021,30,2021-30,3.452527578734613
Austria,AT,2021,31,2021-31,3.786643150870221
Austria,AT,2021,32,2021-32,3.898015008248757
Austria,AT,2021,33,2021-33,3.2297838639775414
Austria,AT,2021,34,2021-34,5.234477296791187
Austria,AT,2021,35,2021-35,8.687004875525801
Austria,AT,2021,36,2021-36,10.58032645096091
Austria,AT,2021,37,2021-37,15.257944460859418
Austria,AT,2021,38,2021-38,17.708125323187208
Austria,AT,2021,39,2021-39,17.039894178915993
Austria,AT,2021,40,2021-40,17.039894178915993
Austria,AT,2021,41,2021-41,19.93556247075793
Austria,AT,2021,42,2021-42,24.279064908520827
Austria,AT,2021,43,2021-43,28.177079916769586
Austria,AT,2021,44,2021-44,38.86877822510903
Austria,AT,2021,45,2021-45,60.36354669916646
Austria,AT,2021,46,2021-46,81.19008402895267
Austria,AT,2021,47,2021-47,97.56174706359744
Austria,AT,2021,48,2021-48,107.028354940773
Austria,AT,2021,49,2021-49,98.6754656373828
Austria,AT,2021,50,2021-50,76.51246601905416
Austria,AT,2021,51,2021-51,50.45145139247676
Austria,AT,2021,52,2021-52,33.41155721356077
Austria,AT,2022,1,2022-01,24.390436765899363
