country_code,year,pps
AL,2012,30
AL,2013,29
AL,2014,30
AL,2015,30
AL,2016,30
AL,2017,30
AL,2018,30
AL,2019,30
AL,2020,31
AL,2021,31
AL,2022,34
AL,2023,35
AT,2012,133
AT,2013,133
AT,2014,132
AT,2015,131
AT,2016,130
AT,2017,127
AT,2018,128
AT,2019,126
AT,2020,125
AT,2021,122
AT,2022,124
AT,2023,123
BA,2012,30
BA,2013,31
BA,2014,30
BA,2015,31
BA,2016,31
BA,2017,31
BA,2018,32
BA,2019,33
BA,2020,33
BA,2021,34
BA,2022,35
BA,2023,35
BE,2012,121
BE,2013,121
BE,2014,121
BE,2015,121
BE,2016,120
BE,2017,118
BE,2018,118
BE,2019,118
BE,2020,118
BE,2021,120
BE,2022,120
BE,2023,118
BG,2012,47
BG,2013,46
BG,2014,47
BG,2015,48
BG,2016,49
BG,2017,50
BG,2018,52
BG,2019,53
BG,2020,55
BG,2021,57
BG,2022,62
BG,2023,64
CH,2012,170
CH,2013,171
CH,2014,171
CH,2015,171
CH,2016,166
CH,2017,160
CH,2018,158
CH,2019,153
CH,2020,155
CH,2021,157
CH,2022,159
CH,2023,154
CY,2012,91
CY,2013,84
CY,2014,81
CY,2015,83
CY,2016,88
CY,2017,90
CY,2018,91
CY,2019,93
CY,2020,91
CY,2021,94
CY,2022,94
CY,2023,95
CZ,2012,84
CZ,2013,86
CZ,2014,88
CZ,2015,89
CZ,2016,89
CZ,2017,91
CZ,2018,92
CZ,2019,93
CZ,2020,93
CZ,2021,92
CZ,2022,90
CZ,2023,91
DE,2012,124
DE,2013,125
DE,2014,127
DE,2015,124
DE,2016,125
DE,2017,124
DE,2018,124
DE,2019,121
DE,2020,123
DE,2021,120
DE,2022,117
DE,2023,115
DK,2012,128
DK,2013,130
DK,2014,129
DK,2015,128
DK,2016,128
DK,2017,130
DK,2018,129
DK,2019,126
DK,2020,133
DK,2021,135
DK,2022,136
DK,2023,127
EA19,2012,108
EA19,2013,108
EA19,2014,108
EA19,2015,108
EA19,2016,108
EA19,2017,107
EA19,2018,107
EA19,2019,106
EA19,2020,105
EA19,2021,105
EA19,2022,104
EA19,2023,104
EA20,2012,108
EA20,2013,108
EA20,2014,107
EA20,2015,107
EA20,2016,107
EA20,2017,107
EA20,2018,106
EA20,2019,106
EA20,2020,105
EA20,2021,105
EA20,2022,104
EA20,2023,104
EE,2012,74
EE,2013,76
EE,2014,78
EE,2015,76
EE,2016,77
EE,2017,79
EE,2018,82
EE,2019,83
EE,2020,85
EE,2021,86
EE,2022,85
EE,2023,81
EL,2012,71
EL,2013,72
EL,2014,72
EL,2015,70
EL,2016,68
EL,2017,67
EL,2018,66
EL,2019,66
EL,2020,62
EL,2021,63
EL,2022,67
EL,2023,67
ES,2012,91
ES,2013,90
ES,2014,90
ES,2015,91
ES,2016,92
ES,2017,93
ES,2018,91
ES,2019,91
ES,2020,83
ES,2021,84
ES,2022,85
ES,2023,88
EU27_2020,2012,100
EU27_2020,2013,100
EU27_2020,2014,100
EU27_2020,2015,100
EU27_2020,2016,100
EU27_2020,2017,100
EU27_2020,2018,100
EU27_2020,2019,100
EU27_2020,2020,100
EU27_2020,2021,100
EU27_2020,2022,100
EU27_2020,2023,100
FI,2012,117
FI,2013,115
FI,2014,113
FI,2015,111
FI,2016,111
FI,2017,111
FI,2018,111
FI,2019,109
FI,2020,114
FI,2021,112
FI,2022,110
FI,2023,108
FR,2012,108
FR,2013,110
FR,2014,108
FR,2015,107
FR,2016,106
FR,2017,104
FR,2018,104
FR,2019,106
FR,2020,105
FR,2021,103
FR,2022,100
FR,2023,101
HR,2012,62
HR,2013,62
HR,2014,61
HR,2015,61
HR,2016,63
HR,2017,64
HR,2018,65
HR,2019,67
HR,2020,65
HR,2021,70
HR,2022,73
HR,2023,76
HU,2012,67
HU,2013,68
HU,2014,69
HU,2015,70
HU,2016,69
HU,2017,69
HU,2018,71
HU,2019,73
HU,2020,74
HU,2021,75
HU,2022,76
HU,2023,76
IE,2012,133
IE,2013,133
IE,2014,138
IE,2015,181
IE,2016,176
IE,2017,183
IE,2018,190
IE,2019,189
IE,2020,207
IE,2021,221
IE,2022,235
IE,2023,211
IS,2012,123
IS,2013,126
IS,2014,126
IS,2015,131
IS,2016,134
IS,2017,133
IS,2018,131
IS,2019,129
IS,2020,122
IS,2021,123
IS,2022,133
IS,2023,134
IT,2012,103
IT,2013,101
IT,2014,98
IT,2015,97
IT,2016,99
IT,2017,98
IT,2018,97
IT,2019,97
IT,2020,94
IT,2021,96
IT,2022,98
IT,2023,97
JP,2012,108
JP,2013,109
JP,2014,107
JP,2015,107
JP,2016,100
JP,2017,97
JP,2018,95
JP,2019,89
JP,2020,90
JP,2021,86
JP,2022,82
LT,2012,71
LT,2013,74
LT,2014,76
LT,2015,75
LT,2016,76
LT,2017,79
LT,2018,81
LT,2019,84
LT,2020,88
LT,2021,89
LT,2022,89
LT,2023,86
LU,2012,277
LU,2013,279
LU,2014,283
LU,2015,282
LU,2016,278
LU,2017,269
LU,2018,260
LU,2019,252
LU,2020,259
LU,2021,266
LU,2022,256
LU,2023,239
LV,2012,61
LV,2013,63
LV,2014,64
LV,2015,65
LV,2016,66
LV,2017,67
LV,2018,69
LV,2019,69
LV,2020,72
LV,2021,71
LV,2022,72
LV,2023,71
ME,2012,40
ME,2013,41
ME,2014,41
ME,2015,43
ME,2016,45
ME,2017,46
ME,2018,48
ME,2019,50
ME,2020,45
ME,2021,47
ME,2022,50
ME,2023,52
MK,2012,36
MK,2013,38
MK,2014,39
MK,2015,39
MK,2016,41
MK,2017,40
MK,2018,41
MK,2019,42
MK,2020,42
MK,2021,43
MK,2022,42
MK,2023,41
MT,2012,87
MT,2013,90
MT,2014,93
MT,2015,98
MT,2016,98
MT,2017,102
MT,2018,103
MT,2019,104
MT,2020,99
MT,2021,103
MT,2022,104
MT,2023,105
NL,2012,135
NL,2013,137
NL,2014,133
NL,2015,131
NL,2016,129
NL,2017,129
NL,2018,129
NL,2019,127
NL,2020,130
NL,2021,131
NL,2022,131
NL,2023,130
NO,2012,188
NO,2013,187
NO,2014,179
NO,2015,159
NO,2016,146
NO,2017,151
NO,2018,157
NO,2019,147
NO,2020,143
NO,2021,172
NO,2022,218
NO,2023,173
PL,2012,67
PL,2013,67
PL,2014,67
PL,2015,69
PL,2016,69
PL,2017,69
PL,2018,71
PL,2019,73
PL,2020,76
PL,2021,77
PL,2022,80
PL,2023,80
PT,2012,76
PT,2013,78
PT,2014,77
PT,2015,78
PT,2016,78
PT,2017,77
PT,2018,78
PT,2019,79
PT,2020,76
PT,2021,75
PT,2022,79
PT,2023,83
RO,2012,57
RO,2013,55
RO,2014,56
RO,2015,57
RO,2016,59
RO,2017,63
RO,2018,66
RO,2019,70
RO,2020,73
RO,2021,73
RO,2022,75
RO,2023,80
RS,2012,40
RS,2013,41
RS,2014,40
RS,2015,39
RS,2016,39
RS,2017,39
RS,2018,40
RS,2019,41
RS,2020,43
RS,2021,44
RS,2022,44
RS,2023,46
SE,2012,130
SE,2013,128
SE,2014,126
SE,2015,128
SE,2016,124
SE,2017,121
SE,2018,119
SE,2019,118
SE,2020,122
SE,2021,122
SE,2022,117
SE,2023,114
SI,2012,83
SI,2013,83
SI,2014,83
SI,2015,83
SI,2016,84
SI,2017,86
SI,2018,87
SI,2019,89
SI,2020,89
SI,2021,90
SI,2022,90
SI,2023,91
SK,2012,77
SK,2013,78
SK,2014,78
SK,2015,79
SK,2016,73
SK,2017,71
SK,2018,70
SK,2019,71
SK,2020,74
SK,2021,73
SK,2022,71
SK,2023,73
TR,2012,59
TR,2013,62
TR,2014,65
TR,2015,68
TR,2016,66
TR,2017,66
TR,2018,63
TR,2019,59
TR,2020,61
TR,2021,61
TR,2022,67
TR,2023,73
UK,2012,110
UK,2013,111
UK,2014,111
UK,2015,111
UK,2016,109
UK,2017,108
UK,2018,105
UK,2019,104
UK,2020,102
UK,2021,102
UK,2022,99
US,2012,148
US,2013,147
US,2014,148
US,2015,148
US,2016,142
US,2017,140
US,2018,140
US,2019,134
US,2020,135
US,2021,135
US,2022,134
